pose_id,x_0,y_0,z_0,x_1,y_1,z_1,x_2,y_2,z_2,x_3,y_3,z_3,x_4,y_4,z_4,x_5,y_5,z_5,x_6,y_6,z_6,x_7,y_7,z_7,x_8,y_8,z_8,x_9,y_9,z_9,x_10,y_10,z_10,x_11,y_11,z_11,x_12,y_12,z_12,x_13,y_13,z_13,x_14,y_14,z_14,x_15,y_15,z_15,x_16,y_16,z_16,x_17,y_17,z_17,x_18,y_18,z_18,x_19,y_19,z_19,x_20,y_20,z_20,
10,0.20139284,0.87095451,0.00000034,0.22586179,0.80540895,-0.02225265,0.23879528,0.73049015,-0.03980465,0.25122607,0.6729697,-0.05767154,0.26077861,0.62191331,-0.07367314,0.1846898,0.63997912,-0.02560069,0.2037499,0.56488639,-0.06077333,0.22937845,0.57531995,-0.0866767,0.24662741,0.60295188,-0.09938151,0.14839043,0.6416986,-0.03194739,0.12957533,0.53727454,-0.05632228,0.11971837,0.46490631,-0.07424457,0.10656371,0.40305087,-0.08621833,0.11956247,0.67823291,-0.04316651,0.07713244,0.60003251,-0.06900176,0.04932202,0.5432719,-0.08782335,0.02492847,0.49128062,-0.09840909,0.09937327,0.7384153,-0.05593244,0.04895538,0.68976057,-0.07570553,0.01641649,0.65769571,-0.08426245,-0.0129889,0.62312335,-0.08918926,okay
11,0.23187977,0.84692246,0.00000034,0.25892085,0.78206855,-0.01851054,0.27546301,0.70820242,-0.03447827,0.29155883,0.65409142,-0.05166665,0.30376419,0.60728568,-0.06729992,0.22516538,0.6172536,-0.02152738,0.24839634,0.54513019,-0.05616639,0.27285579,0.55433887,-0.08183955,0.28978229,0.58296788,-0.0941674,0.18970102,0.61633885,-0.02881914,0.17487784,0.51138955,-0.05088225,0.16766241,0.43974829,-0.06685878,0.15714025,0.37964413,-0.077404,0.1609288,0.6496231,-0.04073406,0.12356904,0.56848955,-0.06354418,0.09985631,0.51467866,-0.07970154,0.07920201,0.46519423,-0.08865917,0.14032494,0.70703018,-0.0540986,0.09627304,0.66194993,-0.07137647,0.06907161,0.63248438,-0.07770769,0.04561242,0.60090214,-0.08084849,okay
12,0.35103917,0.80779445,0.00000033,0.38394412,0.7494247,-0.01785631,0.40630794,0.68085074,-0.03500575,0.43093407,0.63587528,-0.05341671,0.45467845,0.60017264,-0.07040258,0.36218598,0.58278853,-0.02391179,0.39730525,0.52801901,-0.06086623,0.42315051,0.54523581,-0.0880728,0.43708801,0.5743745,-0.10115856,0.33043605,0.57656443,-0.03198431,0.32509696,0.46932292,-0.05570335,0.32681465,0.39777023,-0.07152872,0.3232128,0.33507589,-0.08122604,0.30266106,0.60208166,-0.04430623,0.27276438,0.51161879,-0.06800009,0.25854066,0.4503772,-0.08240979,0.24626932,0.3912521,-0.08936964,0.28130811,0.65250248,-0.05798726,0.24132389,0.59939456,-0.07467494,0.2196067,0.56079614,-0.07887423,0.20185809,0.51846129,-0.08004164,okay
13,0.5859378,0.70064664,0.00000038,0.63611972,0.67536324,-0.00994644,0.68079102,0.63133055,-0.02454641,0.72503006,0.61329955,-0.04310347,0.76243562,0.59890747,-0.06108159,0.65993112,0.50021124,-0.01124311,0.70934129,0.48164839,-0.04593478,0.73679674,0.52602535,-0.07326405,0.75345963,0.56678605,-0.0877111,0.64445043,0.4720645,-0.02421787,0.66586554,0.36876345,-0.04656282,0.68972021,0.3033796,-0.06467866,0.70792991,0.24265321,-0.0769574,0.62233388,0.47806209,-0.04115963,0.61502522,0.36889869,-0.06359398,0.62207901,0.29489315,-0.07770793,0.63089204,0.22620846,-0.08564748,0.60085088,0.50904608,-0.05932854,0.58465129,0.42700818,-0.07625706,0.58149725,0.36871466,-0.08073532,0.58263677,0.31232268,-0.08265815,okay
14,0.65898341,0.63129753,0.00000053,0.72339505,0.62515634,-0.01472877,0.78589112,0.5872342,-0.03486064,0.84312761,0.58684003,-0.05894065,0.89190024,0.58456093,-0.08154288,0.77706838,0.41300708,-0.02126326,0.84167492,0.40751502,-0.06492524,0.87032735,0.47433946,-0.09821419,0.88534081,0.53578037,-0.11518653,0.7585327,0.3713724,-0.03713316,0.7887916,0.23200244,-0.06563462,0.81727219,0.14762354,-0.08742689,0.83816177,0.07319988,-0.1016579,0.72958779,0.37458125,-0.05741987,0.735008,0.23707487,-0.08507033,0.75398254,0.14597186,-0.09930737,0.77262151,0.06356884,-0.10671116,0.7002843,0.41059691,-0.0794543,0.69670522,0.30189261,-0.09974733,0.70200706,0.22212784,-0.10243046,0.71061552,0.1502098,-0.10224544,okay
15,0.56569064,0.9187097,0.00000079,0.6808511,0.89411521,-0.02490195,0.78927022,0.83656448,-0.06293264,0.88967901,0.84172273,-0.10607982,0.96949941,0.85042024,-0.15054135,0.79192698,0.53654808,-0.06316465,0.90405554,0.52831459,-0.14692874,0.94886053,0.61775798,-0.21058041,0.97716707,0.70657796,-0.2474177,0.75888252,0.48416513,-0.09630032,0.8463183,0.27181968,-0.16121097,0.92302614,0.14816132,-0.21350136,0.99291438,0.0324904,-0.25109842,0.6991899,0.49809608,-0.13486145,0.73266488,0.24823269,-0.19807988,0.77660441,0.09597303,-0.24039443,0.82689154,-0.04139355,-0.26753631,0.63208723,0.56020337,-0.17440267,0.61576688,0.35766551,-0.22664692,0.62436432,0.21540587,-0.24774106,0.64546782,0.08229352,-0.2610679,okay
16,0.2690343,0.89402968,0.00000093,0.3752467,0.82019901,-0.06155591,0.46959469,0.70942241,-0.11362556,0.56541151,0.67437112,-0.16505021,0.64760745,0.64758468,-0.2149175,0.42962816,0.40652382,-0.10256504,0.55274093,0.33672991,-0.21047506,0.60159248,0.44688401,-0.28606853,0.6175462,0.56986016,-0.32272619,0.36087659,0.33241802,-0.11995793,0.42117459,0.08796117,-0.19343935,0.46640438,-0.05580786,-0.24119975,0.493577,-0.1693812,-0.2710458,0.27411568,0.34725219,-0.14836031,0.26654249,0.06851561,-0.22294755,0.269324,-0.11060032,-0.26815656,0.27520069,-0.25630853,-0.29116935,0.1809849,0.43249962,-0.18033081,0.10333526,0.2300685,-0.24166878,0.05771738,0.08041713,-0.26869282,0.02653422,-0.05929442,-0.2811957,okay
17,0.23082809,0.97423446,0.00000088,0.33222383,0.8885588,-0.05203927,0.41903585,0.77630401,-0.10922143,0.50498748,0.74743772,-0.16921163,0.57956845,0.73996735,-0.22955744,0.3718257,0.49029684,-0.10079563,0.48098147,0.4164919,-0.21276143,0.53050202,0.53211856,-0.29524353,0.55010188,0.65240473,-0.33759692,0.30385333,0.43391427,-0.12670854,0.35872683,0.1944723,-0.20605707,0.41033971,0.0316405,-0.26422638,0.44537637,-0.11034316,-0.30377018,0.21996686,0.46394596,-0.16204663,0.20397337,0.18702006,-0.23953493,0.1986447,-0.00281877,-0.29617882,0.19672985,-0.16845673,-0.32972965,0.13630719,0.5659638,-0.19949079,0.05733833,0.37035012,-0.25885987,0.01011829,0.23781292,-0.28632551,-0.02770422,0.11121601,-0.30293131,okay
18,0.32681784,0.85537142,0.00000056,0.40522006,0.79440272,-0.02248112,0.47043341,0.70839232,-0.04746959,0.52815104,0.67166716,-0.07621062,0.57733595,0.65122002,-0.10375527,0.43620062,0.53243023,-0.03760331,0.51427591,0.47329158,-0.09648282,0.54446924,0.5467608,-0.1392,0.55775094,0.61736369,-0.16024022,0.39712602,0.49768737,-0.05463539,0.44251576,0.34469044,-0.0946419,0.4805997,0.24016929,-0.12393174,0.50986475,0.13801539,-0.1435875,0.34803927,0.51385391,-0.0780131,0.35385773,0.34657639,-0.11797646,0.36413783,0.23061709,-0.14704093,0.3769193,0.12015618,-0.1639916,0.29793662,0.56997669,-0.10278704,0.26589215,0.44922298,-0.13300446,0.25065613,0.35953918,-0.14586647,0.24303266,0.26988885,-0.15340368,okay
19,0.2841337,0.68582088,0.00000039,0.33117947,0.64645094,-0.01930089,0.37052369,0.58493948,-0.03679769,0.40685174,0.55065173,-0.0557686,0.4368327,0.52403975,-0.07365759,0.35195598,0.46096435,-0.02706124,0.39733464,0.41270322,-0.06696042,0.41801026,0.4552789,-0.09646022,0.42691159,0.50071007,-0.11104102,0.32272616,0.43451691,-0.03593501,0.34969902,0.32754275,-0.06223352,0.37157395,0.25684544,-0.08190564,0.38791254,0.18849461,-0.09514078,0.28768691,0.44321111,-0.0495024,0.28955731,0.32979032,-0.07612216,0.29582909,0.2491709,-0.09536073,0.30390683,0.17287973,-0.10663009,0.25142288,0.47988454,-0.06441939,0.22920768,0.39741021,-0.08436858,0.21797058,0.3377313,-0.09265395,0.21173078,0.27708918,-0.09752573,okay
20,0.16552457,0.85562342,0.00000071,0.17823312,0.78328639,-0.03913046,0.15237927,0.69581717,-0.04858332,0.09806126,0.67084128,-0.05431144,0.05240503,0.66482252,-0.05725358,0.15631306,0.56297338,-0.01364257,0.16599818,0.45044166,-0.03201419,0.17203456,0.37760037,-0.04549515,0.17783898,0.31553608,-0.05345739,0.11804194,0.57218301,-0.0077014,0.09666374,0.45781037,-0.02650967,0.08069343,0.38528404,-0.04098653,0.06928083,0.31982368,-0.04728746,0.08969239,0.6147747,-0.00776351,0.06172213,0.58600384,-0.04375843,0.07666358,0.64935756,-0.0577176,0.09078425,0.68871319,-0.0543278,0.073123,0.67075855,-0.01059579,0.04737283,0.65550154,-0.03982775,0.06359919,0.69110519,-0.0451054,0.08150756,0.71634132,-0.04069329,peace
21,0.16417205,0.81037855,0.0000008,0.18033409,0.73935407,-0.0401614,0.15375298,0.64610368,-0.05445191,0.09350631,0.62662417,-0.06554259,0.04175313,0.62769216,-0.0746763,0.14760308,0.50744104,-0.02358268,0.15527144,0.38767144,-0.04878755,0.15911557,0.30538273,-0.06684945,0.1622231,0.23396847,-0.07799176,0.10426017,0.51594692,-0.02046729,0.07804161,0.39049032,-0.04749196,0.05420084,0.30681136,-0.06733918,0.03404209,0.22812685,-0.07676007,0.07407528,0.56227797,-0.02237562,0.04334433,0.5286355,-0.06613974,0.06463391,0.59941107,-0.08016742,0.08293101,0.64668787,-0.07543458,0.05605815,0.62744009,-0.02678062,0.02990506,0.61928356,-0.06268059,0.05131523,0.65821207,-0.06770876,0.07329664,0.68452412,-0.06176194,peace
22,0.10588449,0.84024692,0.00000082,0.1271973,0.76835334,-0.07181474,0.10026046,0.6709916,-0.10117811,0.02748566,0.6187737,-0.1192038,-0.03765639,0.59833008,-0.13612904,0.0870043,0.46494168,-0.05897011,0.0994993,0.31420317,-0.08990721,0.10336402,0.20919867,-0.11811189,0.1046975,0.11984125,-0.13947232,0.02615561,0.47839922,-0.04041141,-0.01075015,0.34277737,-0.06568868,-0.04006182,0.27403432,-0.09332508,-0.06304879,0.22204199,-0.11362048,-0.01699193,0.53432113,-0.0286878,-0.06334238,0.43629023,-0.05943403,-0.0997222,0.38800046,-0.08831075,-0.13026653,0.35558465,-0.10626607,-0.04036297,0.6168704,-0.02208045,-0.09137748,0.55444819,-0.05457249,-0.1238334,0.52665937,-0.07445277,-0.15205486,0.50456625,-0.08578415,peace
23,0.23463216,0.90049678,0.00000099,0.27376622,0.82033616,-0.04963288,0.26801005,0.69433379,-0.07371712,0.19094759,0.66267467,-0.0956746,0.12510057,0.66380554,-0.11610317,0.24770236,0.5002929,-0.04040907,0.26910087,0.34326839,-0.08174419,0.28086552,0.23325077,-0.10979416,0.2906625,0.13922836,-0.12591465,0.18819232,0.50577724,-0.04243314,0.16290085,0.32142523,-0.08507691,0.1423168,0.19962361,-0.11148048,0.12544587,0.09152482,-0.12289413,0.14306307,0.56358331,-0.05004143,0.11899044,0.51087731,-0.11145236,0.14758919,0.6109482,-0.12341839,0.16863121,0.68035728,-0.11207189,0.10958683,0.65059763,-0.06092193,0.08991753,0.62672722,-0.10664845,0.11874556,0.68727624,-0.1046631,0.14403029,0.73182768,-0.09049312,peace
24,0.34350151,0.93403649,0.00000119,0.40559921,0.87607735,-0.04319833,0.43955213,0.76114047,-0.06701288,0.37838283,0.71637911,-0.09156945,0.30698225,0.70978445,-0.1155426,0.41941866,0.54509425,-0.03611108,0.46251425,0.38659194,-0.07831606,0.4875434,0.27903083,-0.10392403,0.50767416,0.18361036,-0.11731389,0.3578105,0.53206414,-0.04258433,0.36204681,0.34667781,-0.09053209,0.36191857,0.21883622,-0.12019494,0.36194623,0.10330936,-0.13119547,0.30431545,0.56985295,-0.05368731,0.30630425,0.5464614,-0.12097354,0.32721853,0.67277873,-0.13389459,0.3409639,0.75088316,-0.11993536,0.2570574,0.63551688,-0.06732079,0.2671335,0.65020388,-0.11594477,0.29454723,0.74318647,-0.11390883,0.31454039,0.80185014,-0.09750658,peace
25,0.49325979,0.91295421,0.00000114,0.56558037,0.89250875,-0.03873703,0.64147532,0.8125875,-0.06401539,0.63210267,0.73453134,-0.09026573,0.57395965,0.71710813,-0.11438436,0.64466149,0.56164336,-0.03781468,0.70632863,0.41708758,-0.07897924,0.74529117,0.32708937,-0.10289036,0.77757734,0.24679923,-0.116449,0.58173662,0.51598442,-0.05006702,0.62339979,0.33702931,-0.09854574,0.65989482,0.22536857,-0.12709507,0.68879443,0.11839218,-0.1384699,0.52086192,0.52779227,-0.06627952,0.5728935,0.5411917,-0.13116486,0.57475144,0.67196929,-0.14245099,0.56404197,0.74206418,-0.12981404,0.46566939,0.57955682,-0.08569058,0.51194376,0.64895022,-0.1330817,0.53293884,0.74765396,-0.13461012,0.53888202,0.79618216,-0.12281768,peace
26,0.60365325,0.88947785,0.00000126,0.68083203,0.87967312,-0.03964482,0.77056879,0.80633956,-0.06833179,0.78548056,0.7267127,-0.09918447,0.72890824,0.69699329,-0.12566029,0.78542656,0.55287731,-0.04476575,0.86538792,0.41372666,-0.08945542,0.91244239,0.3308306,-0.11492323,0.94897664,0.25029424,-0.13166708,0.72608995,0.49001032,-0.06159412,0.79850823,0.31184044,-0.12111704,0.85116625,0.20768717,-0.15480736,0.89002079,0.10576826,-0.16996694,0.66378325,0.4849695,-0.08186758,0.73664784,0.51554644,-0.15108193,0.72088718,0.66175246,-0.15423307,0.69742441,0.72379571,-0.13705313,0.60840088,0.52395272,-0.10675124,0.66952884,0.62436908,-0.15583466,0.67288631,0.73420501,-0.15495545,0.66309434,0.7675879,-0.14281878,peace
27,0.52231395,0.98692697,0.00000176,0.60996318,0.98663825,-0.06423165,0.70508575,0.90004975,-0.10450261,0.67884159,0.79622763,-0.14384598,0.60687435,0.74252176,-0.1796746,0.72152352,0.57046723,-0.07150678,0.81293821,0.39269134,-0.13705912,0.87632841,0.28302199,-0.17572759,0.92704612,0.17689763,-0.19807152,0.64432955,0.48805624,-0.08619802,0.71031964,0.23716427,-0.16137794,0.76387358,0.07861815,-0.20479186,0.8065722,-0.08155082,-0.22271684,0.56233823,0.48834327,-0.10688247,0.60963202,0.50622034,-0.20602718,0.60416728,0.69534159,-0.21966454,0.58856261,0.79371738,-0.19909331,0.4826625,0.54743677,-0.13282531,0.52256823,0.64367527,-0.20709951,0.54424965,0.79157311,-0.20879838,0.5521546,0.8648842,-0.19082411,peace
28,0.3686223,0.98484939,0.00000178,0.45510265,0.95934808,-0.06780611,0.51832956,0.84481233,-0.11059894,0.44757494,0.7619583,-0.15399815,0.35627556,0.70743585,-0.19728972,0.53428054,0.5247308,-0.06837098,0.61979717,0.33509675,-0.13657668,0.67684692,0.2036349,-0.17854512,0.72474253,0.08494966,-0.20187075,0.45166057,0.47822145,-0.08078429,0.49316964,0.21599121,-0.15490527,0.52228993,0.04871687,-0.19703834,0.5475015,-0.11202946,-0.21417549,0.37248424,0.50581729,-0.10084306,0.38799068,0.44514769,-0.20459937,0.39718363,0.65098369,-0.21864705,0.40199149,0.77539718,-0.196255,0.29744226,0.5840891,-0.12496684,0.31566739,0.57906896,-0.19860266,0.34012604,0.72355753,-0.19309792,0.35557461,0.81135952,-0.16935325,peace
29,0.32119372,0.97459191,0.0000017,0.40667382,0.95582259,-0.07948299,0.46080667,0.83717906,-0.12698011,0.38393018,0.75297421,-0.17120242,0.29248932,0.68811685,-0.21376592,0.47081316,0.51746327,-0.08771991,0.54806483,0.32218832,-0.16132227,0.59929943,0.18527257,-0.2051902,0.64171278,0.06114458,-0.23009272,0.38926485,0.46782357,-0.09564567,0.41545185,0.19626528,-0.17230059,0.43564996,0.03750703,-0.21289748,0.45627752,-0.12310549,-0.22928439,0.30976298,0.50014627,-0.11170917,0.31449464,0.43808344,-0.21672213,0.32213637,0.64206362,-0.2262163,0.32715991,0.75619185,-0.20202295,0.23446204,0.5856396,-0.13310069,0.23896769,0.57813066,-0.20736796,0.26481688,0.71191287,-0.20013292,0.28239542,0.78507328,-0.17617184,peace
30,0.0955137386918068,0.9232244491577148,6.821840514703581e-08,0.140506774187088,0.9453983306884766,-0.0628882646560669,0.17070893943309784,0.9070185422897339,-0.09970469027757645,0.10934994369745255,0.850544810295105,-0.12803980708122253,0.05323931947350502,0.7969240546226501,-0.15332242846488953,0.18262210488319397,0.6698846817016602,-0.06936567276716232,0.19942587614059448,0.5562362670898438,-0.11569851636886597,0.188886359333992,0.4833671450614929,-0.14342550933361053,0.17225033044815063,0.423689603805542,-0.161187082529068,0.13575050234794617,0.6126095056533813,-0.058609914034605026,0.08144732564687729,0.6424813270568848,-0.11622674018144608,0.07475019991397858,0.771621823310852,-0.13160169124603271,0.09554590284824371,0.8228400349617004,-0.13028877973556519,0.08865752816200256,0.6121497750282288,-0.05406850203871727,0.03569013625383377,0.675168514251709,-0.10763336718082428,0.04212130233645439,0.7838307023048401,-0.10036870837211609,0.07005573809146881,0.8130800724029541,-0.08351629227399826,0.04790904000401497,0.6354982256889343,-0.05495205521583557,0.009110070765018463,0.691659688949585,-0.09420163929462433,0.017215073108673096,0.77455735206604,-0.08858776837587357,0.04078766703605652,0.8037360310554504,-0.07330472767353058,pointy-finger-tap
31,0.11504268646240234,0.9268430471420288,5.811735377392324e-07,0.1757892221212387,0.9480715394020081,-0.08113198727369308,0.22625714540481567,0.9337774515151978,-0.13878218829631805,0.17666558921337128,0.918720006942749,-0.18450747430324554,0.11655397713184357,0.8919941186904907,-0.22945217788219452,0.2424684464931488,0.6369373798370361,-0.1443771868944168,0.2759849429130554,0.47960394620895386,-0.21740874648094177,0.2975621223449707,0.37130287289619446,-0.2653365433216095,0.3108252286911011,0.25854867696762085,-0.30107009410858154,0.16674938797950745,0.5478739142417908,-0.13459965586662292,0.12065650522708893,0.690889835357666,-0.21334847807884216,0.13153322041034698,0.8569963574409485,-0.2259785532951355,0.15640340745449066,0.9063599109649658,-0.2264825403690338,0.08882611989974976,0.5505664348602295,-0.13099762797355652,0.04753344506025314,0.748823344707489,-0.19411151111125946,0.08396598696708679,0.8729511499404907,-0.17599958181381226,0.1224566176533699,0.89326012134552,-0.15728339552879333,0.025980383157730103,0.5942031741142273,-0.13623569905757904,0.00317971408367157,0.7673200368881226,-0.18759015202522278,0.03987712413072586,0.878840982913971,-0.18103010952472687,0.07685023546218872,0.9011218547821045,-0.16640503704547882,pointy-finger-tap
